market,total_startups,successful,success_rate,avg_funding,median_funding,avg_rounds,success_rate_pct
Security,526,499,0.9486692015209125,7039995.072243346,5060000.0,1.747148288973384,94.87
Software,4620,4366,0.945021645021645,4800180.440530303,2200000.0,1.5746753246753247,94.5
Legal,89,84,0.9438202247191011,3663549.8988764044,950000.0,1.6292134831460674,94.38
Hardware + Software,1081,1019,0.9426456984273821,5752869.329787234,3000000.0,1.658649398704903,94.26
Consulting,483,455,0.9420289855072463,3481772.4513457557,1470000.0,1.1718426501035197,94.2
News,378,356,0.9417989417989417,3539499.9437830686,1287638.5,1.4126984126984128,94.18
Marketplaces,204,192,0.9411764705882353,2157691.3235294116,400000.0,1.4901960784313726,94.12
Travel,354,333,0.940677966101695,3772453.7422316386,1000776.0,1.5254237288135593,94.07
Nanotechnology,96,90,0.9375,6918715.0,4260000.0,1.9270833333333333,93.75
Video Streaming,63,59,0.9365079365079365,5614689.357142857,2750000.0,1.9206349206349207,93.65
Events,75,70,0.9333333333333333,1680113.2566666666,300000.0,1.4933333333333334,93.33
Web Hosting,446,416,0.9327354260089686,8722887.536995515,7500000.0,1.6457399103139014,93.27
Mobile Games,59,55,0.9322033898305084,2484834.25,300000.0,1.6779661016949152,93.22
Clean Technology,1200,1117,0.9308333333333333,8510766.787916666,7100000.0,1.6766666666666667,93.08
Social Commerce,57,53,0.9298245614035088,2415542.3333333335,684733.0,1.631578947368421,92.98
Mobile,1983,1839,0.9273827534039334,4747257.120902672,2000000.0,1.6843166918809884,92.74
Sales And Marketing,123,114,0.926829268292683,2946605.7520325202,680750.0,1.6422764227642277,92.68
Sports,254,235,0.9251968503937008,2083061.3297244094,600000.0,1.4015748031496063,92.52
Semiconductors,507,469,0.9250493096646942,10867722.901873767,12233358.0,1.9644970414201184,92.5
Advertising,1064,980,0.9210526315789473,5567156.6750469925,2665604.0,1.7659774436090225,92.11
Video,214,196,0.9158878504672897,4836376.099299066,2000000.0,1.7476635514018692,91.59
Search,289,261,0.903114186851211,4052134.4411764704,1549831.0,1.6159169550173011,90.31
Games,1182,1062,0.8984771573604061,4332083.728003385,1700000.0,1.5194585448392555,89.85
Social Media,876,780,0.8904109589041096,2669380.282534247,700000.0,1.5490867579908676,89.04
Android,91,81,0.8901098901098901,2830906.414835165,1000000.0,1.6703296703296704,89.01
Internet Marketing,72,64,0.8888888888888888,2887276.829861111,575000.0,1.6805555555555556,88.89
Messaging,297,263,0.8855218855218855,4393655.086700337,1681000.0,1.5622895622895623,88.55
Reviews And Recommendations,59,52,0.8813559322033898,3779662.9237288134,1550250.0,1.8305084745762712,88.14
Shopping,66,58,0.8787878787878788,4490165.056818182,1900000.0,1.696969696969697,87.88
Music,296,260,0.8783783783783784,3124471.2804054054,900000.0,1.5472972972972974,87.84
Networking,189,166,0.8783068783068783,4104344.652116402,1500000.0,1.4285714285714286,87.83
Web Development,103,90,0.8737864077669902,3151820.0582524273,773174.0,1.4368932038834952,87.38
Social Network Media,176,152,0.8636363636363636,2523596.690340909,650000.0,1.5738636363636365,86.36
Iphone,69,59,0.855072463768116,2697666.84057971,436730.0,1.5217391304347827,85.51
Curated Web,1655,1402,0.8471299093655589,3135549.919637462,1000000.0,1.476132930513595,84.71
Location Based Services,62,52,0.8387096774193549,2925535.9233870967,1000000.0,1.6451612903225807,83.87
Facebook Applications,73,61,0.8356164383561644,2449341.4897260275,743221.5,1.5342465753424657,83.56
Public Relations,173,138,0.7976878612716763,4112318.579479769,1660000.0,1.283236994219653,79.77
